0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,75,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,102,0,80,80,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,103,0,104,103,0,104,0,0,0,0,0,0,0,0,80,80,81,0,81,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,103,0,103,103,0,103,0,0,0,0,0,0,0,0,0,81,80,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,102,76,102,102,0,102,0,0,103,0,0,0,0,104,0,0,0,81,0,0,0,0,0,0,0,103,0,82,0,0,0,0,0,0,0,0,0,0,0
80,80,81,80,80,81,80,0,0,102,0,0,75,0,101,99,0,0,80,0,81,75,0,0,83,0,101,75,80,99,0,0,0,104,0,0,0,0,0,0
80,0,80,80,0,80,81,81,0,80,61,61,80,81,80,80,81,80,80,81,80,80,81,0,80,81,80,80,80,80,99,75,99,100,75,81,99,77,75,75
107,80,0,0,0,80,80,80,80,80,54,80,80,80,80,0,80,0,0,80,80,80,80,0,80,80,0,0,80,0,80,80,80,80,80,80,80,81,80,80
0,0,80,0,80,0,0,80,0,80,80,80,0,80,0,80,0,80,80,81,81,81,80,81,0,80,80,80,0,80,0,80,80,0,80,0,80,80,80,0
0,0,0,0,0,0,80,0,80,0,0,80,80,0,80,80,80,80,0,106,80,0,0,80,0,81,80,80,80,80,80,0,0,80,0,80,80,0,0,80
0,0,0,0,0,0,0,0,0,80,0,0,0,80,80,80,0,0,0,0,80,80,81,0,81,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,105,0,80,80,0,80,0,80,80,0,80,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,80,80,80,80,80,0,80,81,81,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,80,80,80,80,0,80,0,80,80,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
