2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
2,3,0,0,0,21,19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
2,2,18,19,20,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
2,2,2,2,2,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,2,2
2,2,2,2,2,2,2,2,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2
2,2,2,2,2,2,2,2,2,2,18,19,19,19,19,22,0,21,19,19,19,19,19,19,19,19,19,20,2,2,2,2
2,2,5,2,2,5,2,2,2,2,2,2,2,2,2,3,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,10,0,0,13,0,9,2,2,2,2,2,2,2,2,10,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,0,0,0,0,0,0,9,2,2,2,2,2,5,10,0,0,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,0,0,0,0,0,0,0,4,2,2,2,10,0,0,0,0,0,9,2,2,2,2,2,2,2,5,10,0,4,5,2
2,24,0,21,22,0,0,23,2,2,2,10,0,0,0,0,0,0,0,9,2,2,2,2,2,10,0,0,0,13,0,4
2,2,25,2,2,18,20,2,2,2,3,0,0,0,0,21,19,22,0,0,4,2,2,2,10,0,0,0,0,0,0,4
2,2,2,2,2,2,2,2,2,2,2,24,0,0,23,2,2,2,18,20,2,2,2,3,0,0,0,21,19,22,0,4
2,2,2,2,2,2,2,2,2,2,2,2,18,20,2,2,2,2,2,2,2,2,2,10,0,0,23,2,2,3,0,4
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,0,0,23,2,2,2,3,0,4
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,13,0,0,4,2,2,2,3,0,4
2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,4,2,2,2,3,0,4
2,2,2,2,10,0,0,9,5,5,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,9,2,2,2,3,0,4
2,2,2,10,0,0,0,0,0,0,4,2,5,5,2,2,2,2,2,2,2,24,0,0,0,0,9,2,2,3,0,4
2,2,10,0,0,0,0,0,0,32,2,10,0,0,4,2,2,2,2,2,2,2,24,0,0,0,0,4,2,3,0,4
2,3,0,0,0,0,0,0,0,0,13,0,0,0,9,2,2,2,2,2,2,2,2,18,22,0,0,4,2,3,0,4
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,5,5,2,2,2,2,18,20,2,2,3,0,4
2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,10,0,0,9,2,2,2,2,2,2,2,10,0,4
2,2,2,18,22,0,0,0,0,0,0,0,0,0,23,2,2,3,0,0,0,0,4,2,2,2,2,2,10,0,0,4
2,2,2,2,3,0,0,0,0,21,19,19,19,20,2,2,2,3,0,0,0,7,2,2,2,2,10,0,0,0,0,4
2,2,2,2,2,2,18,19,20,2,2,2,2,2,2,2,2,2,6,6,6,2,2,2,2,3,0,0,0,0,23,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,2,2,2,24,0,0,23,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,0,0,9,2,2,2,3,0,23,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,0,0,0,0,9,2,2,3,0,4,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,10,0,0,0,0,0,0,0,4,2,10,0,4,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,0,0,0,0,0,0,0,0,0,9,10,0,0,4,2,2,2
2,2,2,2,2,2,2,2,2,2,5,5,3,0,0,0,0,21,31,0,0,0,0,0,0,0,0,0,4,2,2,2
2,2,2,2,2,2,2,2,2,3,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,21,19,20,2,2,2,2
2,2,5,5,5,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,2,2,2,2,2,2,2
2,10,0,0,0,4,2,2,2,2,24,0,0,0,0,0,0,0,0,0,0,23,2,2,2,2,2,2,2,2,2,2
3,0,0,0,21,2,2,2,2,2,2,18,22,0,0,0,0,0,0,21,20,2,2,2,2,2,2,2,2,2,2,2
2,18,19,20,2,2,2,2,2,5,2,2,2,18,19,19,19,19,20,2,2,2,2,2,5,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,3,0,4,2,2,2,2,2,2,2,2,2,2,2,2,3,0,4,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2
